DateTime;KM_SW_FR_Summe [liter];BM_SW_FR_Summe [liter];__WNW150_Summe [mm];BG_SW_FR_Summe [mm];KG_SW_FR_Summe [mm]
01.10.22 00:00:05;0;0;1,8;9,6;11,30001
01.10.22 00:10:05;0;0;0;0;0
01.10.22 00:20:05;0;0;0;0,1;0,1
01.10.22 00:30:05;0;0;0;0,1;0,1
01.10.22 00:40:05;0;0;0;0,2;0,2
01.10.22 00:50:05;0;0;0;0,2;0,2
01.10.22 01:00:05;0;0;0;0,3;0,2
01.10.22 01:10:05;0;0;0;0,3;0,3
01.10.22 01:20:05;0;0;0;0,4;0,3
01.10.22 01:30:05;0;0;0;0,4;0,4
01.10.22 01:40:05;0;0;0;0,5;0,4
01.10.22 01:50:05;0;0;0;0,5;0,4
01.10.22 02:00:05;0;0;0;0,6;0,5
01.10.22 02:10:05;0;0;0;0,6;0,5
01.10.22 02:20:05;0;0;0;0,7;0,5
01.10.22 02:30:05;0;0;0;0,7;0,6
01.10.22 02:40:05;0;0;0;0,8000001;0,6
01.10.22 02:50:05;0;0;0;0,8000001;0,7
01.10.22 03:00:05;0;0;0;0,8000001;0,7
01.10.22 03:10:05;0;0;0;0,9000001;0,7
01.10.22 03:20:05;0;0;0;0,9000001;0,8000001
01.10.22 03:30:05;0;0;0;1;0,8000001
01.10.22 03:40:05;0;0;0;1;0,8000001
01.10.22 03:50:05;0;0;0;1,1;0,9000001
01.10.22 04:00:05;0;0;0;1,1;0,9000001
01.10.22 04:10:05;0;0;0;1,2;0,9000001
01.10.22 04:20:05;0;0;0;1,2;1
01.10.22 04:30:05;0;0;0;1,3;1
01.10.22 04:40:05;0;0;0;1,3;1
01.10.22 04:50:05;0;0;0;1,4;1,1
01.10.22 05:00:05;0;0;0;1,4;1,1
01.10.22 05:10:05;0;0;0;1,5;1,1
01.10.22 05:20:05;0;0;0;1,5;1,2
01.10.22 05:30:05;0;0;0;1,5;1,2
01.10.22 05:40:06;0;0;0;1,6;1,2
01.10.22 05:50:05;0;0;0;1,6;1,3
