DateTime;BARO_P [hPa];L05_T32_M_020 [hPa];L05_T32_M_035 [hPa];L05_T32_M_050 [hPa];L04_T32_M_020 [hPa];L04_T32_M_035 [hPa];L04_T32_M_050 [hPa];L03_T32_M_020 [hPa];L03_T32_M_035 [hPa];L03_T32_M_050 [hPa];L02_T32_M_020 [hPa];L02_T32_M_035 [hPa];L02_T32_M_050 [hPa];L01_T32_M_020 [hPa];L01_T32_M_035 [hPa];L01_T32_M_050 [hPa];L05_T32_M_F [hPa];L04_T32_M_F [hPa];L03_T32_M_F [hPa];L02_T32_M_F [hPa];L01_T32_M_F [hPa];L05_T32_T_020 [degC];L05_T32_T_035 [degC];L05_T32_T_050 [degC];L04_T32_T_020 [degC];L04_T32_T_035 [degC];L04_T32_T_050 [degC];L03_T32_T_020 [degC];L03_T32_T_035 [degC];L03_T32_T_050 [degC];L02_T32_T_020 [degC];L02_T32_T_035 [degC];L02_T32_T_050 [degC];L01_T32_T_020 [degC];L01_T32_T_035 [degC];L01_T32_T_050 [degC];L05_T32_T_F [degC];L04_T32_T_F [degC];L03_T32_T_F [degC];L02_T32_T_F [degC];L01_T32_T_F [degC];L05_SMT_W_020 [vol];L05_SMT_W_035 [vol];L05_SMT_W_050 [vol];L05_SMT_W_F [vol];L05_SMT_T_020 [degC];L05_SMT_T_035 [degC];L05_SMT_T_050 [degC];L05_SMT_T_F [degC];L04_SMT_W_020 [vol];L04_SMT_W_035 [vol];L04_SMT_W_050 [vol];L04_SMT_W_F [vol];L04_SMT_T_020 [1703796egC];L04_SMT_T_035 [4211287egC];L04_SMT_T_050 [4211287egC];L04_SMT_T_F [degC];L03_SMT_W_020 [vol];L03_SMT_W_035 [vol];L03_SMT_W_050 [vol];L03_SMT_W_F [vol];L03_SMT_T_020 [degC];L03_SMT_T_035 [degC];L03_SMT_T_050 [degC];L03_SMT_T_F [degC];L02_SMT_W_020 [vol];L02_SMT_W_035 [vol];L02_SMT_W_050 [vol];L02_SMT_W_F [vol];L02_SMT_T_020 [degC];L02_SMT_T_035 [degC];L02_SMT_T_050 [degC];L02_SMT_T_F [degC];L01_SMT_W_020 [vol];L01_SMT_W_035 [vol];L01_SMT_W_050 [vol];L01_SMT_W_F [vol];L01_SMT_T_020 [degC];L01_SMT_T_035 [degC];L01_SMT_T_050 [degC];L01_SMT_T_F [degC]
2022-12-31 00:00;1005,3;-18,8;-32,3;-50,9;-26,5;-57,7;-72,2;-2,9;15,1;23,7;-25,7;-44,9;-51,5;-23,3;-65,2;-77,8;-70,7;-72,2;-75,2;-54,3;-61;5,4;5,4;5,5;5,8;5,7;5,6;5,5;5,5;5,5;5,4;5,5;5,4;5,5;5,7;5,6;4,9;5,7;5,6;5,7;2,9;29,3;27,5;23,1;0;6,2;6;5,9;0;28,7;21,9;19,6;0;6,1;6,2;6,2;0;32;32;29,3;0;6,2;5,9;5,9;0;25,5;24;24,2;0;6,3;5,9;6;0;28,4;23,8;18;0;6,2;6;6;0
2022-12-31 00:10;1005,3;-18,5;-31,8;-50,6;-26;-57,2;-72,1;-2,6;15,1;23,8;-25,4;-44,6;-51,4;-23;-64,8;-77,7;-70,6;-72,1;-75,1;-54,3;-60,9;5,4;5,4;5,5;5,9;5,7;5,6;5,5;5,5;5,5;5,4;5,5;5,4;5,5;5,7;5,6;4,9;5,7;5,6;5,7;3;29,3;27,5;23,1;0;6,2;6;5,9;0;28,7;21,9;19,6;0;6,1;6,1;6,2;0;32;32;29,3;0;6,2;5,9;5,9;0;25,5;24,1;24,2;0;6,3;5,9;6;0;28,4;23,9;18;0;6,3;6,1;6;0
2022-12-31 00:20;1005,3;-18,3;-31,4;-50,4;-25,5;-56,8;-72,2;-2,5;14,8;23,4;-25,2;-44,5;-51,5;-22,7;-64,6;-77,7;-70,7;-72;-75,2;-54,2;-61,1;5,4;5,4;5,5;5,9;5,7;5,6;5,5;5,5;5,5;5,4;5,5;5,4;5,5;5,7;5,6;4,9;5,7;5,6;5,7;3;29,3;27,5;23,1;0;6,3;6;5,9;0;28,7;22;19,6;0;6,2;6,2;6,2;0;32;32;29,3;0;6,2;5,9;5,9;0;25,5;24,1;24,2;0;6,3;6;5,9;0;28,4;23,9;18;0;6,3;6;6;0
2022-12-31 00:30;1005,3;-18,1;-31;-50,1;-25,1;-56,2;-72,2;-2,6;14,4;23;-25;-44,2;-51,5;-22,5;-64,3;-77,6;-70,7;-72;-75,2;-54,2;-61,1;5,4;5,5;5,5;5,9;5,7;5,6;5,5;5,5;5,5;5,5;5,5;5,4;5,5;5,7;5,6;4,9;5,7;5,6;5,8;3;29,3;27,5;23,1;0;6,3;6;5,9;0;28,7;22;19,6;0;6,2;6,2;6,2;0;32;32;29,3;0;6,3;5,9;5,9;0;25,5;24,1;24,2;0;6,3;6;6;0;28,4;23,9;18;0;6,4;6;6;0
2022-12-31 00:40;1005,3;-18;-30,5;-49,8;-24,7;-55,6;-72;-2,8;13,9;22,6;-24,7;-43,9;-51,3;-22,2;-63,9;-77,5;-70,6;-71,8;-75,1;-54,2;-61;5,4;5,5;5,5;5,9;5,7;5,6;5,5;5,5;5,5;5,5;5,5;5,4;5,5;5,7;5,6;4,9;5,7;5,6;5,8;3;29,3;27,5;23,1;0;6,3;6;5,9;0;28,7;22,1;19,6;0;6,3;6,2;6,2;0;32;32;29,3;0;6,3;5,9;5,9;0;25,5;24,2;24,2;0;6,4;5,9;6;0;28,4;23,9;18;0;6,4;6;6;0
2022-12-31 00:50;1005,3;-17,8;-29,9;-49,4;-24,3;-55;-71,9;-3,1;13,5;22,1;-24,4;-43,5;-51,2;-22;-63,5;-77,5;-70,5;-71,7;-75;-54,1;-60,8;5,4;5,5;5,5;5,9;5,7;5,6;5,5;5,6;5,5;5,5;5,5;5,4;5,5;5,7;5,6;4,9;5,7;5,6;5,8;3;29,3;27,5;23,2;0;6,3;6,1;5,9;0;28,7;22,1;19,6;0;6,3;6,2;6,2;0;32;32;29,3;0;6,3;5,9;5,9;0;25,5;24,2;24,2;0;6,4;5,9;6;0;28,4;23,9;18;0;6,4;6;6;0
2022-12-31 01:00;1005,3;-17,7;-29,5;-49,1;-23,9;-54,4;-71,8;-3,5;13,1;21,7;-24,3;-43,3;-51,2;-21,8;-63,1;-77,4;-70,5;-71,6;-75;-54,1;-60,8;5,4;5,5;5,5;5,9;5,7;5,7;5,5;5,6;5,5;5,5;5,5;5,4;5,5;5,7;5,6;4,9;5,7;5,6;5,8;3;29,3;27,5;23,2;0;6,4;6,1;5,9;0;28,7;22,1;19,6;0;6,3;6,2;6,3;0;32;32;29,3;0;6,3;5,9;5,9;0;25,5;24,3;24,2;0;6,4;6;6;0;28,4;23,9;18;0;6,4;6,1;6;0
2022-12-31 01:10;1005,3;-17,6;-29,1;-48,8;-23,6;-53,9;-71,8;-3,9;12,6;21,3;-24,2;-43,1;-51,2;-21,7;-62,8;-77,3;-70,6;-71,5;-75;-54;-60,9;5,5;5,5;5,5;5,9;5,7;5,7;5,6;5,6;5,5;5,5;5,5;5,4;5,5;5,7;5,6;4,9;5,7;5,6;5,8;3;29,3;27,5;23,2;0;6,4;6,1;5,9;0;28,7;22,2;19,6;0;6,3;6,2;6,2;0;32;32;29,3;0;6,3;5,9;5,9;0;25,5;24,3;24,2;0;6,5;6;6;0;28,4;23,9;18;0;6,4;6,1;6;0
2022-12-31 01:20;1005,3;-17,6;-28,6;-48,4;-23,3;-53,2;-71,5;-4,2;12,5;21,1;-24,1;-42,6;-51;-21,6;-62,3;-77,3;-70,4;-71,4;-74,8;-54;-60,7;5,5;5,5;5,5;6;5,7;5,7;5,6;5,6;5,5;5,5;5,5;5,4;5,5;5,7;5,7;4,9;5,7;5,6;5,8;3;29,3;27,5;23,2;0;6,4;6,1;5,9;0;28,7;22,2;19,6;0;6,4;6,2;6,2;0;32;32;29,3;0;6,4;6;6;0;25,5;24,3;24,2;0;6,5;6;6;0;28,4;23,9;18;0;6,5;6,1;6;0
2022-12-31 01:30;1005,3;-17,4;-28,1;-47,9;-22,9;-52,5;-71,3;-4,3;12,4;21;-23,9;-42,3;-50,8;-21,5;-61,9;-77,1;-70,3;-71,2;-74,7;-53,9;-60,6;5,5;5,5;5,5;6;5,8;5,7;5,6;5,6;5,5;5,5;5,5;5,4;5,6;5,7;5,7;4,9;5,7;5,6;5,8;3;29,3;27,5;23,2;0;6,5;6,1;5,9;0;28,7;22,2;19,6;0;6,3;6,2;6,2;0;32;32;29,3;0;6,4;6;5,9;0;25,5;24,4;24,2;0;6,6;6;6;0;28,4;24;18;0;6,6;6,1;6,1;0
